Field Path,Type(s),Files Present,Total Occurrences,Null Count,Null %,Is List,List Info,Sample Values
,dict(10),10,10,0,0.0%,No,,N/A
data,dict(10),10,10,0,0.0%,No,,N/A
data.content,dict(10),10,10,0,0.0%,No,,N/A
data.content.buzz,null(10),10,10,10,100.0%,No,,N/A
data.content.h2h,"dict(9), bool(1)",10,10,0,0.0%,No,,[False]
data.content.h2h.matches,list(9),9,9,0,0.0%,Yes,"min:1, max:19, avg:8.6",N/A
data.content.h2h.matches[0],dict(9),9,9,0,0.0%,No,,N/A
data.content.h2h.matches[0].away,dict(9),9,9,0,0.0%,No,,N/A
data.content.h2h.matches[0].away.id,str(9),9,9,0,0.0%,No,,"['294582', '433030', '601595']"
data.content.h2h.matches[0].away.name,str(9),9,9,0,0.0%,No,,"['Glasgow City', 'Washington Spirit', 'Cork City WFC']"
data.content.h2h.matches[0].finished,bool(9),9,9,0,0.0%,No,,[False]
data.content.h2h.matches[0].home,dict(9),9,9,0,0.0%,No,,N/A
data.content.h2h.matches[0].home.id,str(9),9,9,0,0.0%,No,,"['789902', '189397', '1252958']"
data.content.h2h.matches[0].home.name,str(9),9,9,0,0.0%,No,,"['Hibernian LFC', 'NJ/NY Gotham FC', 'Athlone Town AFC Ladies']"
data.content.h2h.matches[0].league,dict(9),9,9,0,0.0%,No,,N/A
data.content.h2h.matches[0].league.id,str(9),9,9,0,0.0%,No,,"['11019', '9134', '10210']"
data.content.h2h.matches[0].league.name,str(9),9,9,0,0.0%,No,,"['SWPL Cup', 'NWSL', ""Women's Premier Division""]"
data.content.h2h.matches[0].league.pageUrl,str(9),9,9,0,0.0%,No,,"['/leagues/11019/overview/swpl-cup', '/leagues/9134/overview/nwsl', '/leagues/10210/overview/womens-"
data.content.h2h.matches[0].matchUrl,str(9),9,9,0,0.0%,No,,"['/matches/glasgow-city-vs-hibernian-lfc/7i5c8blk#1000005067', '/matches/njny-gotham-fc-vs-washingto"
data.content.h2h.matches[0].status,dict(9),9,9,0,0.0%,No,,N/A
data.content.h2h.matches[0].status.awarded,bool(8),8,8,0,0.0%,No,,[False]
data.content.h2h.matches[0].status.cancelled,bool(9),9,9,0,0.0%,No,,[False]
data.content.h2h.matches[0].status.finished,bool(9),9,9,0,0.0%,No,,"[False, True]"
data.content.h2h.matches[0].status.reason,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[0].status.reason.long,str(8),8,8,0,0.0%,No,,"['Full-Time', 'Pen 3 - 5']"
data.content.h2h.matches[0].status.reason.longKey,str(8),8,8,0,0.0%,No,,"['finished', 'afterpenalties']"
data.content.h2h.matches[0].status.reason.penalties,list(1),1,1,0,0.0%,Yes,"min:2, max:2, avg:2.0",N/A
data.content.h2h.matches[0].status.reason.penalties[0],str(1),1,1,0,0.0%,No,,['3']
data.content.h2h.matches[0].status.reason.penalties[1],str(1),1,1,0,0.0%,No,,['5']
data.content.h2h.matches[0].status.reason.short,str(8),8,8,0,0.0%,No,,"['FT', 'Pen']"
data.content.h2h.matches[0].status.reason.shortKey,str(8),8,8,0,0.0%,No,,"['fulltime_short', 'penalties_short']"
data.content.h2h.matches[0].status.scoreStr,str(8),8,8,0,0.0%,No,,"['0 - 0', '2 - 0', '2 - 3']"
data.content.h2h.matches[0].status.started,bool(9),9,9,0,0.0%,No,,"[False, True]"
data.content.h2h.matches[0].status.utcTime,str(9),9,9,0,0.0%,No,,"['2026-02-01T14:00:00.000Z', '2025-08-09T16:00:00.000Z', '2025-03-22T19:30:00.000Z']"
data.content.h2h.matches[0].time,dict(9),9,9,0,0.0%,No,,N/A
data.content.h2h.matches[0].time.utcTime,str(9),9,9,0,0.0%,No,,"['2026-02-01T14:00:00.000Z', '2025-08-09T16:00:00.000Z', '2025-03-22T19:30:00.000Z']"
data.content.h2h.matches[1],dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].away,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].away.id,str(8),8,8,0,0.0%,No,,"['789902', '189397', '601595']"
data.content.h2h.matches[1].away.name,str(8),8,8,0,0.0%,No,,"['Hibernian LFC', 'NJ/NY Gotham FC', 'Cork City WFC']"
data.content.h2h.matches[1].finished,bool(8),8,8,0,0.0%,No,,[False]
data.content.h2h.matches[1].home,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].home.id,str(8),8,8,0,0.0%,No,,"['294582', '433030', '1252958']"
data.content.h2h.matches[1].home.name,str(8),8,8,0,0.0%,No,,"['Glasgow City', 'Washington Spirit', 'Athlone Town AFC Ladies']"
data.content.h2h.matches[1].league,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].league.id,str(8),8,8,0,0.0%,No,,"['10791', '9134', '10210']"
data.content.h2h.matches[1].league.name,str(8),8,8,0,0.0%,No,,"['SWPL 1', 'NWSL', ""Women's Premier Division""]"
data.content.h2h.matches[1].league.pageUrl,str(8),8,8,0,0.0%,No,,"['/leagues/10791/overview/swpl-1', '/leagues/9134/overview/nwsl', '/leagues/10210/overview/womens-pr"
data.content.h2h.matches[1].matchUrl,str(8),8,8,0,0.0%,No,,"['/matches/glasgow-city-vs-hibernian-lfc/7i5c8blk#1000002035', '/matches/njny-gotham-fc-vs-washingto"
data.content.h2h.matches[1].status,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].status.awarded,bool(8),8,8,0,0.0%,No,,[False]
data.content.h2h.matches[1].status.cancelled,bool(8),8,8,0,0.0%,No,,[False]
data.content.h2h.matches[1].status.finished,bool(8),8,8,0,0.0%,No,,[True]
data.content.h2h.matches[1].status.reason,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].status.reason.long,str(8),8,8,0,0.0%,No,,"['Full-Time', 'Pen 6 - 5']"
data.content.h2h.matches[1].status.reason.longKey,str(8),8,8,0,0.0%,No,,"['finished', 'afterpenalties']"
data.content.h2h.matches[1].status.reason.penalties,list(1),1,1,0,0.0%,Yes,"min:2, max:2, avg:2.0",N/A
data.content.h2h.matches[1].status.reason.penalties[0],str(1),1,1,0,0.0%,No,,['6']
data.content.h2h.matches[1].status.reason.penalties[1],str(1),1,1,0,0.0%,No,,['5']
data.content.h2h.matches[1].status.reason.short,str(8),8,8,0,0.0%,No,,"['FT', 'Pen']"
data.content.h2h.matches[1].status.reason.shortKey,str(8),8,8,0,0.0%,No,,"['fulltime_short', 'penalties_short']"
data.content.h2h.matches[1].status.scoreStr,str(8),8,8,0,0.0%,No,,"['0 - 0', '0 - 3', '4 - 0']"
data.content.h2h.matches[1].status.started,bool(8),8,8,0,0.0%,No,,[True]
data.content.h2h.matches[1].status.utcTime,str(8),8,8,0,0.0%,No,,"['2025-11-23T16:10:00.000Z', '2025-04-26T17:00:00.000Z', '2024-09-07T18:30:00.000Z']"
data.content.h2h.matches[1].time,dict(8),8,8,0,0.0%,No,,N/A
data.content.h2h.matches[1].time.utcTime,str(8),8,8,0,0.0%,No,,"['2025-11-23T16:10:00.000Z', '2025-04-26T17:00:00.000Z', '2024-09-07T18:30:00.000Z']"
data.content.h2h.matches[2],dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].away,dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].away.id,str(7),7,7,0,0.0%,No,,"['294582', '189397', '1252958']"
data.content.h2h.matches[2].away.name,str(7),7,7,0,0.0%,No,,"['Glasgow City', 'NJ/NY Gotham FC', 'Athlone Town AFC Ladies']"
data.content.h2h.matches[2].finished,bool(7),7,7,0,0.0%,No,,[False]
data.content.h2h.matches[2].home,dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].home.id,str(7),7,7,0,0.0%,No,,"['789902', '433030', '601595']"
data.content.h2h.matches[2].home.name,str(7),7,7,0,0.0%,No,,"['Hibernian LFC', 'Washington Spirit', 'Cork City WFC']"
data.content.h2h.matches[2].league,dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].league.id,str(7),7,7,0,0.0%,No,,"['10791', '9134', '10210']"
data.content.h2h.matches[2].league.name,str(7),7,7,0,0.0%,No,,"['SWPL 1', 'NWSL', ""Women's Premier Division""]"
data.content.h2h.matches[2].league.pageUrl,str(7),7,7,0,0.0%,No,,"['/leagues/10791/overview/swpl-1', '/leagues/9134/overview/nwsl', '/leagues/10210/overview/womens-pr"
data.content.h2h.matches[2].matchUrl,str(7),7,7,0,0.0%,No,,"['/matches/glasgow-city-vs-hibernian-lfc/7i5c8blk#1000001793', '/matches/njny-gotham-fc-vs-washingto"
data.content.h2h.matches[2].status,dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].status.awarded,bool(7),7,7,0,0.0%,No,,[False]
data.content.h2h.matches[2].status.cancelled,bool(7),7,7,0,0.0%,No,,[False]
data.content.h2h.matches[2].status.finished,bool(7),7,7,0,0.0%,No,,[True]
data.content.h2h.matches[2].status.reason,dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].status.reason.long,str(7),7,7,0,0.0%,No,,"['Full-Time', 'Pen 3 - 0']"
data.content.h2h.matches[2].status.reason.longKey,str(7),7,7,0,0.0%,No,,"['finished', 'afterpenalties']"
data.content.h2h.matches[2].status.reason.penalties,list(1),1,1,0,0.0%,Yes,"min:2, max:2, avg:2.0",N/A
data.content.h2h.matches[2].status.reason.penalties[0],str(1),1,1,0,0.0%,No,,['3']
data.content.h2h.matches[2].status.reason.penalties[1],str(1),1,1,0,0.0%,No,,['0']
data.content.h2h.matches[2].status.reason.short,str(7),7,7,0,0.0%,No,,"['FT', 'Pen']"
data.content.h2h.matches[2].status.reason.shortKey,str(7),7,7,0,0.0%,No,,"['fulltime_short', 'penalties_short']"
data.content.h2h.matches[2].status.scoreStr,str(7),7,7,0,0.0%,No,,"['2 - 2', '1 - 1', '0 - 1']"
data.content.h2h.matches[2].status.started,bool(7),7,7,0,0.0%,No,,[True]
data.content.h2h.matches[2].status.utcTime,str(7),7,7,0,0.0%,No,,"['2025-05-11T11:10:00.000Z', '2024-11-16T17:00:00.000Z', '2024-06-08T16:00:00.000Z']"
data.content.h2h.matches[2].time,dict(7),7,7,0,0.0%,No,,N/A
data.content.h2h.matches[2].time.utcTime,str(7),7,7,0,0.0%,No,,"['2025-05-11T11:10:00.000Z', '2024-11-16T17:00:00.000Z', '2024-06-08T16:00:00.000Z']"
data.content.h2h.summary,list(9),9,9,0,0.0%,Yes,"min:3, max:3, avg:3.0",N/A
data.content.h2h.summary[0],int(9),9,9,0,0.0%,No,,"[2, 6, 0]"
data.content.h2h.summary[1],int(9),9,9,0,0.0%,No,,"[2, 7, 0]"
data.content.h2h.summary[2],int(9),9,9,0,0.0%,No,,"[1, 6, 10]"
data.content.hasPlayoff,bool(10),10,10,0,0.0%,No,,[False]
data.content.highlightStories,dict(1),1,1,0,0.0%,No,,N/A
data.content.highlightStories.stories,list(1),1,1,0,0.0%,Yes,"min:1, max:1, avg:1.0",N/A
data.content.highlightStories.stories[0],dict(1),1,1,0,0.0%,No,,N/A
data.content.highlightStories.stories[0].content,list(1),1,1,0,0.0%,Yes,"min:1, max:1, avg:1.0",N/A
data.content.highlightStories.stories[0].content[0],dict(1),1,1,0,0.0%,No,,N/A
data.content.highlightStories.stories[0].content[0].id,str(1),1,1,0,0.0%,No,,['68dd6f29990b02d0b85b535f']
data.content.highlightStories.stories[0].content[0].lastUpdated,str(1),1,1,0,0.0%,No,,['2025-10-01T20:07:25Z']
data.content.highlightStories.stories[0].content[0].pregame,bool(1),1,1,0,0.0%,No,,[False]
data.content.highlightStories.stories[0].content[0].restriction,dict(1),1,1,0,0.0%,No,,N/A
data.content.highlightStories.stories[0].content[0].restriction.allowed,list(1),1,1,0,0.0%,Yes,"min:0, max:0, avg:0.0",N/A
data.content.highlightStories.stories[0].content[0].restriction.blocked,list(1),1,1,0,0.0%,Yes,"min:0, max:0, avg:0.0",N/A
data.content.highlightStories.stories[0].content[0].title,str(1),1,1,0,0.0%,No,,['El Paso Locomotive FC vs. Oakland Roots SC']
data.content.highlightStories.stories[0].provider,str(1),1,1,0,0.0%,No,,['WSC']
data.content.lineup,"dict(9), null(1)",10,10,1,10.0%,No,,N/A
data.content.lineup.availableFilters,list(9),9,9,0,0.0%,Yes,"min:3, max:5, avg:3.3",N/A
data.content.lineup.availableFilters[0],str(9),9,9,0,0.0%,No,,"['match', 'marketValue']"
data.content.lineup.availableFilters[1],str(9),9,9,0,0.0%,No,,"['age', 'match']"
data.content.lineup.availableFilters[2],str(9),9,9,0,0.0%,No,,"['country', 'age']"
data.content.lineup.awayTeam,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.averageStarterAge,"float(8), int(1)",9,9,0,0.0%,No,,"[27.4, 27.6, 25.9]"
data.content.lineup.awayTeam.coach,dict(7),7,7,0,0.0%,No,,N/A
data.content.lineup.awayTeam.coach.age,int(7),7,7,0,0.0%,No,,"[44, 37, 36]"
data.content.lineup.awayTeam.coach.countryCode,str(7),7,7,0,0.0%,No,,"['SCO', 'ENG', 'ESP']"
data.content.lineup.awayTeam.coach.countryName,str(7),7,7,0,0.0%,No,,"['Scotland', 'England', 'Spain']"
data.content.lineup.awayTeam.coach.firstName,str(7),7,7,0,0.0%,No,,"['Leanne', 'Sebastian Tony', 'Adrián González']"
data.content.lineup.awayTeam.coach.id,int(7),7,7,0,0.0%,No,,"[294698, 24189, 1618343]"
data.content.lineup.awayTeam.coach.isCoach,bool(7),7,7,0,0.0%,No,,[True]
data.content.lineup.awayTeam.coach.lastName,str(7),7,7,0,0.0%,No,,"['Ross', 'Hines', 'Morales']"
data.content.lineup.awayTeam.coach.name,str(7),7,7,0,0.0%,No,,"['Leanne Ross', 'Sebastian Tony Hines', 'Adrián González Morales']"
data.content.lineup.awayTeam.coach.primaryTeamId,int(7),7,7,0,0.0%,No,,"[294582, 728922, 433030]"
data.content.lineup.awayTeam.coach.primaryTeamName,str(7),7,7,0,0.0%,No,,"['Glasgow City', 'Orlando Pride', 'Washington Spirit']"
data.content.lineup.awayTeam.coach.usualPlayingPositionId,null(7),7,7,7,100.0%,No,,N/A
data.content.lineup.awayTeam.formation,str(9),9,9,0,0.0%,No,,"['4-3-3', '3-5-2', '4-2-3-1']"
data.content.lineup.awayTeam.id,int(9),9,9,0,0.0%,No,,"[294582, 728922, 433030]"
data.content.lineup.awayTeam.name,str(9),9,9,0,0.0%,No,,"['Glasgow City', 'Orlando Pride', 'Washington Spirit']"
data.content.lineup.awayTeam.rating,"float(5), int(3)",8,8,0,0.0%,No,,"[0, 6.3, 6.2]"
data.content.lineup.awayTeam.starters,list(9),9,9,0,0.0%,Yes,"min:11, max:11, avg:11.0",N/A
data.content.lineup.awayTeam.starters[0],dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[0].age,int(8),8,8,0,0.0%,No,,"[34, 26, 27]"
data.content.lineup.awayTeam.starters[0].countryCode,str(8),8,8,0,0.0%,No,,"['SCO', 'USA', 'SWE']"
data.content.lineup.awayTeam.starters[0].countryName,str(8),8,8,0,0.0%,No,,"['Scotland', 'USA', 'Sweden']"
data.content.lineup.awayTeam.starters[0].firstName,str(9),9,9,0,0.0%,No,,"['Lee', 'McKinley', 'Sandy']"
data.content.lineup.awayTeam.starters[0].horizontalLayout,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[0].horizontalLayout.height,float(9),9,9,0,0.0%,No,,"[0.25, 0.195]"
data.content.lineup.awayTeam.starters[0].horizontalLayout.width,float(9),9,9,0,0.0%,No,,"[0.2, 0.192]"
data.content.lineup.awayTeam.starters[0].horizontalLayout.x,float(9),9,9,0,0.0%,No,,[0.1]
data.content.lineup.awayTeam.starters[0].horizontalLayout.y,float(9),9,9,0,0.0%,No,,[0.5]
data.content.lineup.awayTeam.starters[0].id,int(9),9,9,0,0.0%,No,,"[294686, 1553595, 1130945]"
data.content.lineup.awayTeam.starters[0].isCaptain,bool(1),1,1,0,0.0%,No,,[True]
data.content.lineup.awayTeam.starters[0].lastName,str(9),9,9,0,0.0%,No,,"['Gibson', 'Crone', 'MacIver']"
